EmployeeNumber,Age,Gender,Department,JobRole,BusinessTravel,EducationField,MonthlyIncome,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,Attrition,Age_Group,Salary_Category,Attrition_Flag
1,41,Female,Sales,"Sales Executive",Travel_Rarely,"Life Sciences",5993,6,0,5,4,2,1,Yes,40+,"Medium Salary",1
2,49,Male,"Research & Development","Research Scientist",Travel_Frequently,"Life Sciences",5130,10,1,7,2,3,3,No,40+,"Medium Salary",0
4,37,Male,"Research & Development","Laboratory Technician",Travel_Rarely,Other,2090,0,0,0,3,4,3,Yes,30-40,"Low Salary",1
5,33,Female,"Research & Development","Research Scientist",Travel_Frequently,"Life Sciences",2909,8,3,0,3,4,3,No,30-40,"Low Salary",0
7,27,Male,"Research & Development","Laboratory Technician",Travel_Rarely,Medical,3468,2,2,2,2,1,3,No,"Under 30","Low Salary",0
8,32,Male,"Research & Development","Laboratory Technician",Travel_Frequently,"Life Sciences",3068,7,3,6,4,4,2,No,30-40,"Low Salary",0
10,59,Female,"Research & Development","Laboratory Technician",Travel_Rarely,Medical,2670,1,0,0,1,3,2,No,40+,"Low Salary",0
11,30,Male,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",2693,1,0,0,3,4,3,No,30-40,"Low Salary",0
12,38,Male,"Research & Development","Manufacturing Director",Travel_Frequently,"Life Sciences",9526,9,1,8,3,4,3,No,30-40,"Medium Salary",0
13,36,Male,"Research & Development","Healthcare Representative",Travel_Rarely,Medical,5237,7,7,7,3,3,2,No,30-40,"Medium Salary",0
14,35,Male,"Research & Development","Laboratory Technician",Travel_Rarely,Medical,2426,5,0,3,2,1,3,No,30-40,"Low Salary",0
15,29,Female,"Research & Development","Laboratory Technician",Travel_Rarely,"Life Sciences",4193,9,0,8,3,4,3,No,"Under 30","Low Salary",0
16,31,Male,"Research & Development","Research Scientist",Travel_Rarely,"Life Sciences",2911,5,4,3,3,1,2,No,30-40,"Low Salary",0
